sh_id	status	all16s_row_count	all16s_rows	original_fasta_id_count	original_fasta_ids	original_fasta_ids_raw	qub_id_count	qub_ids	sequence_identifier_count	sequence_identifiers	overview_row_count	overview_rows	overview_partner_ids	notes
SH_0067	MISSING_QUB_ID	4	1486; 1487; 1670; 1671	2	JTQ722_65947228_65947228; JTQ723_65947235_65947235	>JTQ722_65947228_65947228; >JTQ723_65947235_65947235	0		0		0			Check source workbook coverage for this SH_ID.
SH_0071.1.2	MISSING_QUB_ID	2	631; 641	2	IPO324_58123240_58123240; IPO334_58123349_58123349	>IPO324_58123240_58123240; >IPO334_58123349_58123349	0		0		0			Check source workbook coverage for this SH_ID.
SH_0095	MISSING_QUB_ID	2	1739; 1740	2	KCX855_68358557_68358557; KCX856_68358564_68358564	>KCX855_68358557_68358557; >KCX856_68358564_68358564	0		0		0			Check source workbook coverage for this SH_ID.
SH_0102_J3	MISSING_QUB_ID	1	391	1	GEC612_41626123_41626123	>GEC612_41626123_41626123	0		0		0			Check source workbook coverage for this SH_ID.
SH_0111.1	MISSING_QUB_ID	2	636; 657	2	IPO329_58123295_58123295; IPO339_58123394_A12	>IPO329_58123295_58123295; >IPO339_58123394_A12	0		0		0			Check source workbook coverage for this SH_ID.
SH_0155_M20	MISSING_QUB_ID	1	489	1	GLE324_43463245_43463245	>GLE324_43463245_43463245	0		0		0			Check source workbook coverage for this SH_ID.
SH_0316	MISSING_QUB_ID	2	1225; 1387	1	JDP762_61777621_D10	>JDP762_61777621_D10	0		0		0			Check source workbook coverage for this SH_ID.
SH_0345	MISSING_QUB_ID	5	256; 474; 1162; 1191; 1392	4	GBF580_40875805_40875805; GLE309_43463092_43463092; IWS842_59988428_59988428; JDP762_61777621_A12	>GBF580_40875805_40875805; >GLE309_43463092_43463092; >IWS842_59988428_59988428; >JDP762_61777621_A12	0		0		0			Check source workbook coverage for this SH_ID.
SH_0354	MISSING_QUB_ID	3	289; 478; 1215	3	GBF613_40876130_40876130; GLE313_43463139_43463139; JDP762_61777621_C12	>GBF613_40876130_40876130; >GLE313_43463139_43463139; >JDP762_61777621_C12	0		0		0			Check source workbook coverage for this SH_ID.
SH_0357	MISSING_QUB_ID	4	81; 479; 1112; 1397	3	DYG788_26587883_26587883; GLE314_43463146_43463146; IWS792_59987926_59987926	>DYG788_26587883_26587883; >GLE314_43463146_43463146; >IWS792_59987926_59987926	0		0		0			Check source workbook coverage for this SH_ID.
SH_0377	MISSING_QUB_ID	2	1123; 1396	1	IWS803_59988039_59988039	>IWS803_59988039_59988039	0		0		0			Check source workbook coverage for this SH_ID.
SH_0377/378	MISSING_QUB_ID	1	384	1	GEC605_41626055_41626055	>GEC605_41626055_41626055	0		0		0			Check source workbook coverage for this SH_ID.
SH_0378	MISSING_QUB_ID	2	1122; 1395	1	IWS802_59988022_59988022	>IWS802_59988022_59988022	0		0		0			Check source workbook coverage for this SH_ID.
SH_0379	MISSING_QUB_ID	3	387; 1127; 1398	2	GEC608_41626086_41626086; IWS807_59988077_59988077	>GEC608_41626086_41626086; >IWS807_59988077_59988077	0		0		0			Check source workbook coverage for this SH_ID.
SH_0383	MISSING_QUB_ID	4	255; 472; 1262; 1401	3	GBF579_40875799_40875799; GLE307_43463078_43463078; JDP762_61777621_G11	>GBF579_40875799_40875799; >GLE307_43463078_43463078; >JDP762_61777621_G11	0		0		0			Check source workbook coverage for this SH_ID.
SH_0384	MISSING_QUB_ID	3	473; 1125; 1406	2	GLE308_43463085_43463085; IWS805_59988053_59988053	>GLE308_43463085_43463085; >IWS805_59988053_59988053	0		0		0			Check source workbook coverage for this SH_ID.
SH_0385	MISSING_QUB_ID	3	1128; 1159; 1405	2	IWS808_59988084_59988084; IWS839_59988398_59988398	>IWS808_59988084_59988084; >IWS839_59988398_59988398	0		0		0			Check source workbook coverage for this SH_ID.
SH_0387	MISSING_QUB_ID	1	1180	1	JDP762_61777621_A1	>JDP762_61777621_A1	0		0		0			Check source workbook coverage for this SH_ID.
SH_0401	MISSING_QUB_ID	1	1196	1	JDP762_61777621_B5	>JDP762_61777621_B5	0		0		0			Check source workbook coverage for this SH_ID.
SH_0405	MISSING_QUB_ID	1	1204	1	JDP762_61777621_C1	>JDP762_61777621_C1	0		0		0			Check source workbook coverage for this SH_ID.
SH_0409	MISSING_QUB_ID	1	1208	1	JDP762_61777621_C5	>JDP762_61777621_C5	0		0		0			Check source workbook coverage for this SH_ID.
SH_0442	MISSING_QUB_ID	1	1095	1	IWS775_59987759_59987759	>IWS775_59987759_59987759	0		0		0			Check source workbook coverage for this SH_ID.
SH_0449	MISSING_QUB_ID	1	1266	1	JDP762_61777621_H2	>JDP762_61777621_H2	0		0		0			Check source workbook coverage for this SH_ID.
SH_0490	MISSING_QUB_ID	1	966	1	IVY966_59789667_C9	>IVY966_59789667_C9	0		0		0			Check source workbook coverage for this SH_ID.
SH_0491	MISSING_QUB_ID	1	967	1	IVY966_59789667_C10	>IVY966_59789667_C10	0		0		0			Check source workbook coverage for this SH_ID.
SH_0492	MISSING_QUB_ID	1	968	1	IVY966_59789667_C11	>IVY966_59789667_C11	0		0		0			Check source workbook coverage for this SH_ID.
SH_0493	MISSING_QUB_ID	1	969	1	IVY966_59789667_C12	>IVY966_59789667_C12	0		0		0			Check source workbook coverage for this SH_ID.
SH_0495	MISSING_QUB_ID	1	971	1	IVY966_59789667_D2	>IVY966_59789667_D2	0		0		0			Check source workbook coverage for this SH_ID.
SH_0497	MISSING_QUB_ID	1	973	1	IVY966_59789667_D4	>IVY966_59789667_D4	0		0		0			Check source workbook coverage for this SH_ID.
SH_0498	MISSING_QUB_ID	1	974	1	IVY966_59789667_D5	>IVY966_59789667_D5	0		0		0			Check source workbook coverage for this SH_ID.
SH_0512	MISSING_QUB_ID	1	986	1	IVY966_59789667_E5	>IVY966_59789667_E5	0		0		0			Check source workbook coverage for this SH_ID.
SH_0515	MISSING_QUB_ID	1	988	1	IVY966_59789667_E7	>IVY966_59789667_E7	0		0		0			Check source workbook coverage for this SH_ID.
SH_0519	MISSING_QUB_ID	1	992	1	IVY966_59789667_E11	>IVY966_59789667_E11	0		0		0			Check source workbook coverage for this SH_ID.
SH_0525	MISSING_QUB_ID	2	698; 997	2	IPO339_58123394_E5; IVY966_59789667_F4	>IPO339_58123394_E5; >IVY966_59789667_F4	0		0		0			Check source workbook coverage for this SH_ID.
SH_0539	MISSING_QUB_ID	1	1010	1	IVY966_59789667_G5	>IVY966_59789667_G5	0		0		0			Check source workbook coverage for this SH_ID.
SH_0540	MISSING_QUB_ID	1	1011	1	IVY966_59789667_G6	>IVY966_59789667_G6	0		0		0			Check source workbook coverage for this SH_ID.
SH_0541	MISSING_QUB_ID	1	1012	1	IVY966_59789667_G7	>IVY966_59789667_G7	0		0		0			Check source workbook coverage for this SH_ID.
SH_0544	MISSING_QUB_ID	1	1015	1	IVY966_59789667_G10	>IVY966_59789667_G10	0		0		0			Check source workbook coverage for this SH_ID.
SH_0545	MISSING_QUB_ID	1	1014	1	IVY966_59789667_G9	>IVY966_59789667_G9	0		0		0			Check source workbook coverage for this SH_ID.
SH_0546	MISSING_QUB_ID	1	1016	1	IVY966_59789667_G11	>IVY966_59789667_G11	0		0		0			Check source workbook coverage for this SH_ID.
SH_0547	MISSING_QUB_ID	2	710; 1017	2	IPO339_58123394_F5; IVY966_59789667_G12	>IPO339_58123394_F5; >IVY966_59789667_G12	0		0		0			Check source workbook coverage for this SH_ID.
SH_0556	MISSING_QUB_ID	2	722; 1025	2	IPO339_58123394_G5; IVY966_59789667_H8	>IPO339_58123394_G5; >IVY966_59789667_H8	0		0		0			Check source workbook coverage for this SH_ID.
SH_0565	MISSING_QUB_ID	2	663; 886	2	IPO339_58123394_B6; IPO341_58123417_E1	>IPO339_58123394_B6; >IPO341_58123417_E1	0		0		0			Check source workbook coverage for this SH_ID.
SH_0586	MISSING_QUB_ID	2	675; 841	2	IPO339_58123394_C6; IPO341_58123417_A4	>IPO339_58123394_C6; >IPO341_58123417_A4	0		0		0			Check source workbook coverage for this SH_ID.
SH_0602	MISSING_QUB_ID	1	902	1	IPO341_58123417_F5	>IPO341_58123417_F5	0		0		0			Check source workbook coverage for this SH_ID.
SH_0615	MISSING_QUB_ID	2	687; 920	2	IPO339_58123394_D6; IPO341_58123417_G11	>IPO339_58123394_D6; >IPO341_58123417_G11	0		0		0			Check source workbook coverage for this SH_ID.
